rank,time_bucket,time_seconds,coordinates,lat,lon,newly_covered_buildings,newly_covered_people_est
134,30s,30,"31.744485,34.991142",31.744484965371505,34.99114168927853,3,21
135,30s,30,"31.740169,34.983836",31.740168958953667,34.9838359591436,3,21
136,30s,30,"31.745718,34.976291",31.745717953020282,34.976290938954186,3,21
137,30s,30,"31.737102,34.993947",31.737101537330634,34.9939467600393,3,21
138,30s,30,"31.748933,34.995763",31.74893259487193,34.995763316903464,3,21
139,30s,30,"31.739105,34.989637",31.739104807532417,34.98963700404863,3,21
140,30s,30,"31.752780,34.980982",31.75278002563003,34.98098197465406,3,21
141,30s,30,"31.740680,34.984267",31.740679598015923,34.98426716824387,3,21
142,30s,30,"31.754017,34.996821",31.754016667001448,34.99682109792677,3,21
143,30s,30,"31.739900,34.992781",31.739900327728346,34.99278109368506,3,21
144,30s,30,"31.754093,34.990095",31.754093161340077,34.99009489161031,3,21
145,30s,30,"31.724852,34.996172",31.72485216207062,34.996172416465626,3,21
146,30s,30,"31.716171,34.993087",31.71617080320036,34.99308659152391,3,21
147,30s,30,"31.756955,34.997522",31.756954815930587,34.99752233140067,3,21
148,30s,30,"31.744805,34.992611",31.74480469010265,34.992611206781696,3,21
149,30s,30,"31.741548,34.988883",31.741548039151006,34.98888257584948,3,21
150,30s,30,"31.741950,34.989887",31.741949688151447,34.989887214012725,3,21
151,30s,30,"31.739326,34.995997",31.73932571154893,34.99599660340506,3,21
152,30s,30,"31.738506,34.981860",31.738505591152208,34.981860155844025,3,21
153,30s,30,"31.741196,34.986764",31.741195917380832,34.98676431367981,3,21
154,30s,30,"31.747162,34.982085",31.747161787481186,34.982084707430204,3,21
155,30s,30,"31.750529,34.981463",31.750529045597432,34.981462564260326,3,21
156,30s,30,"31.708927,35.001720",31.70892681165743,35.00172016494339,2,14
157,30s,30,"31.749902,34.987347",31.74990154948942,34.9873467338489,2,14
158,30s,30,"31.713965,34.989785",31.713964512407255,34.98978541861083,2,14
159,30s,30,"31.714036,34.981451",31.71403639821414,34.98145106876264,2,14
160,30s,30,"31.748056,34.985551",31.748055757675658,34.985550625770344,2,14
161,30s,30,"31.743264,34.983243",31.74326350596211,34.98324271715862,2,14
162,30s,30,"31.743186,34.984231",31.743185781074438,34.98423087447251,2,14
163,30s,30,"31.744988,34.975502",31.744987616036525,34.975502026163866,2,14
164,30s,30,"31.742343,34.987595",31.74234315565171,34.987594949219215,2,14
165,30s,30,"31.744081,34.975877",31.74408063420311,34.97587747504817,2,14
166,30s,30,"31.709444,34.994789",31.70944362744131,34.99478937449977,2,14
167,30s,30,"31.748609,34.986834",31.748609011469558,34.986834468368826,2,14
168,30s,30,"31.746015,34.986036",31.746015077556276,34.986035519906736,2,14
169,30s,30,"31.752041,34.981909",31.752040916196215,34.98190877213388,2,14
170,30s,30,"31.751054,34.997941",31.75105436666856,34.99794074354264,2,14
171,30s,30,"31.743333,34.982719",31.743332838331913,34.98271910121745,2,14
172,30s,30,"31.751553,34.987082",31.751553138594304,34.98708168569645,2,14
173,30s,30,"31.742050,34.995845",31.74204959334744,34.99584516688981,2,14
174,30s,30,"31.754919,34.992963",31.754919006221986,34.99296347452581,2,14
175,30s,30,"31.739185,34.993486",31.739185165442034,34.993485569663505,2,14
176,30s,30,"31.750173,34.983268",31.750172788264667,34.98326762563025,2,14
